id,employee_id,clock_in,clock_out,date,duration_hours,status,notes,created_at,updated_at,location_id,location_name,export_timestamp
29,7,2025-07-07 08:51:00.000000,2025-07-07 17:08:00.000000,2025-07-07 00:00:00.000000,,completed,,2025-07-13 20:09:57.802891,2025-07-13 20:09:57.802898,1,Main Office,2025-08-06T10:22:21.149954
30,8,2025-07-11 08:52:00.000000,2025-07-11 16:44:00.000000,2025-07-11 00:00:00.000000,,completed,,2025-07-13 20:09:57.816525,2025-07-13 20:09:57.816532,1,Main Office,2025-08-06T10:22:21.149954
31,8,2025-07-10 08:18:00.000000,2025-07-10 17:04:00.000000,2025-07-10 00:00:00.000000,,completed,,2025-07-13 20:09:57.828137,2025-07-13 20:09:57.828144,1,Main Office,2025-08-06T10:22:21.149954
32,8,2025-07-09 08:30:00.000000,2025-07-09 16:31:00.000000,2025-07-09 00:00:00.000000,,completed,,2025-07-13 20:09:57.841355,2025-07-13 20:09:57.841363,1,Main Office,2025-08-06T10:22:21.149954
33,8,2025-07-08 08:45:00.000000,2025-07-08 16:40:00.000000,2025-07-08 00:00:00.000000,,completed,,2025-07-13 20:09:57.852529,2025-07-13 20:09:57.852539,1,Main Office,2025-08-06T10:22:21.149954
34,8,2025-07-07 08:58:00.000000,2025-07-07 16:33:00.000000,2025-07-07 00:00:00.000000,,completed,,2025-07-13 20:09:57.865015,2025-07-13 20:09:57.865023,1,Main Office,2025-08-06T10:22:21.149954
40,2,2025-07-31 09:10:00.000000,2025-07-31 17:45:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-07-31 18:53:16.425337,2025-07-31 18:53:16.425340,1,Main Office,2025-08-06T10:22:21.149954
41,2,2025-07-30 09:10:00.000000,2025-07-30 17:45:00.000000,2025-07-30 00:00:00.000000,,completed,,2025-07-31 18:53:16.434095,2025-07-31 18:53:16.434100,1,Main Office,2025-08-06T10:22:21.149954
42,2,2025-07-29 09:10:00.000000,2025-07-29 17:45:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-07-31 18:53:16.444626,2025-07-31 18:53:16.444631,1,Main Office,2025-08-06T10:22:21.149954
43,3,2025-07-31 09:20:00.000000,2025-07-31 18:00:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-07-31 18:53:16.454590,2025-07-31 18:53:16.454597,1,Main Office,2025-08-06T10:22:21.149954
44,3,2025-07-30 09:20:00.000000,2025-07-30 18:00:00.000000,2025-07-30 00:00:00.000000,,completed,,2025-07-31 18:53:16.463350,2025-07-31 18:53:16.463352,1,Main Office,2025-08-06T10:22:21.149954
45,3,2025-07-29 09:20:00.000000,2025-07-29 18:00:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-07-31 18:53:16.471240,2025-07-31 18:53:16.471243,1,Main Office,2025-08-06T10:22:21.149954
56,6,2025-07-31 08:46:00.000000,2025-07-31 16:31:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-07-31 18:53:17.045406,2025-07-31 18:53:17.045409,1,Main Office,2025-08-06T10:22:21.149954
57,6,2025-07-30 09:00:00.000000,2025-07-30 16:31:00.000000,2025-07-30 00:00:00.000000,,completed,,2025-07-31 18:53:17.053735,2025-07-31 18:53:17.053737,1,Main Office,2025-08-06T10:22:21.149954
58,6,2025-07-29 08:26:00.000000,2025-07-29 16:36:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-07-31 18:53:17.062849,2025-07-31 18:53:17.062851,1,Main Office,2025-08-06T10:22:21.149954
59,6,2025-07-28 08:39:00.000000,2025-07-28 17:12:00.000000,2025-07-28 00:00:00.000000,,completed,,2025-07-31 18:53:17.070676,2025-07-31 18:53:17.070679,1,Main Office,2025-08-06T10:22:21.149954
60,6,2025-07-25 08:26:00.000000,2025-07-25 16:42:00.000000,2025-07-25 00:00:00.000000,,completed,,2025-07-31 18:53:17.078507,2025-07-31 18:53:17.078510,1,Main Office,2025-08-06T10:22:21.149954
61,7,2025-07-31 08:27:00.000000,2025-07-31 16:31:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-07-31 18:53:17.086518,2025-07-31 18:53:17.086522,1,Main Office,2025-08-06T10:22:21.149954
62,7,2025-07-30 08:50:00.000000,,2025-07-30 00:00:00.000000,,active,,2025-07-31 18:53:17.094736,2025-07-31 18:53:17.094739,1,Main Office,2025-08-06T10:22:21.149954
63,7,2025-07-29 08:48:00.000000,2025-07-29 17:06:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-07-31 18:53:17.103462,2025-07-31 18:53:17.103467,1,Main Office,2025-08-06T10:22:21.149954
64,7,2025-07-28 08:14:00.000000,2025-07-28 17:15:00.000000,2025-07-28 00:00:00.000000,,completed,,2025-07-31 18:53:17.112491,2025-07-31 18:53:17.112495,1,Main Office,2025-08-06T10:22:21.149954
65,7,2025-07-25 08:55:00.000000,2025-07-25 16:56:00.000000,2025-07-25 00:00:00.000000,,completed,,2025-07-31 18:53:17.121407,2025-07-31 18:53:17.121410,1,Main Office,2025-08-06T10:22:21.149954
66,8,2025-07-31 08:04:00.000000,2025-07-31 17:24:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-07-31 18:53:17.129812,2025-07-31 18:53:17.129816,1,Main Office,2025-08-06T10:22:21.149954
67,8,2025-07-30 08:48:00.000000,2025-07-30 17:21:00.000000,2025-07-30 00:00:00.000000,,completed,,2025-07-31 18:53:17.138203,2025-07-31 18:53:17.138207,1,Main Office,2025-08-06T10:22:21.149954
68,8,2025-07-29 08:12:00.000000,2025-07-29 16:47:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-07-31 18:53:17.146845,2025-07-31 18:53:17.146849,1,Main Office,2025-08-06T10:22:21.149954
69,8,2025-07-28 08:00:00.000000,2025-07-28 17:20:00.000000,2025-07-28 00:00:00.000000,,completed,,2025-07-31 18:53:17.155529,2025-07-31 18:53:17.155533,1,Main Office,2025-08-06T10:22:21.149954
70,8,2025-07-25 08:03:00.000000,2025-07-25 16:39:00.000000,2025-07-25 00:00:00.000000,,completed,,2025-07-31 18:53:17.164527,2025-07-31 18:53:17.164533,1,Main Office,2025-08-06T10:22:21.149954
76,6,2025-08-04 08:32:00.000000,2025-08-04 17:00:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:52:27.000050,2025-08-04 18:52:27.000054,1,Main Office,2025-08-06T10:22:21.149954
77,6,2025-08-01 08:42:00.000000,,2025-08-01 00:00:00.000000,,active,,2025-08-04 18:52:27.008997,2025-08-04 18:52:27.009001,1,Main Office,2025-08-06T10:22:21.149954
78,7,2025-08-04 08:23:00.000000,2025-08-04 17:07:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:52:27.020010,2025-08-04 18:52:27.020013,1,Main Office,2025-08-06T10:22:21.149954
79,7,2025-08-01 08:00:00.000000,,2025-08-01 00:00:00.000000,,active,,2025-08-04 18:52:27.028304,2025-08-04 18:52:27.028307,1,Main Office,2025-08-06T10:22:21.149954
80,8,2025-08-04 08:02:00.000000,2025-08-04 17:04:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:52:27.039146,2025-08-04 18:52:27.039149,1,Main Office,2025-08-06T10:22:21.149954
81,8,2025-08-01 08:02:00.000000,2025-08-01 17:27:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:52:27.048167,2025-08-04 18:52:27.048171,1,Main Office,2025-08-06T10:22:21.149954
86,2,2025-08-04 10:00:00.000000,2025-08-04 18:51:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:53:31.693865,2025-08-04 18:53:31.693867,1,Main Office,2025-08-06T10:22:21.149954
87,2,2025-08-03 10:00:00.000000,2025-08-03 17:37:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:53:31.702435,2025-08-04 18:53:31.702437,1,Main Office,2025-08-06T10:22:21.149954
88,2,2025-08-02 10:28:00.000000,2025-08-02 17:47:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:53:31.710629,2025-08-04 18:53:31.710632,1,Main Office,2025-08-06T10:22:21.149954
89,2,2025-08-01 08:13:00.000000,2025-08-01 16:19:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:53:31.718846,2025-08-04 18:53:31.718849,1,Main Office,2025-08-06T10:22:21.149954
90,3,2025-08-04 09:00:00.000000,2025-08-04 17:24:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:53:31.727906,2025-08-04 18:53:31.727909,1,Main Office,2025-08-06T10:22:21.149954
91,3,2025-08-03 08:33:00.000000,2025-08-03 18:25:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:53:31.736531,2025-08-04 18:53:31.736534,1,Main Office,2025-08-06T10:22:21.149954
92,3,2025-08-02 10:51:00.000000,2025-08-02 16:52:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:53:31.744745,2025-08-04 18:53:31.744748,1,Main Office,2025-08-06T10:22:21.149954
93,3,2025-08-01 10:03:00.000000,2025-08-01 18:57:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:53:31.753091,2025-08-04 18:53:31.753094,1,Main Office,2025-08-06T10:22:21.149954
98,6,2025-08-03 08:36:00.000000,2025-08-03 16:17:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:53:31.806167,2025-08-04 18:53:31.806170,1,Main Office,2025-08-06T10:22:21.149954
99,6,2025-08-02 09:26:00.000000,2025-08-02 17:36:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:53:31.816589,2025-08-04 18:53:31.816596,1,Main Office,2025-08-06T10:22:21.149954
100,7,2025-08-03 09:25:00.000000,2025-08-03 16:36:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:53:31.828179,2025-08-04 18:53:31.828182,1,Main Office,2025-08-06T10:22:21.149954
101,7,2025-08-02 08:27:00.000000,2025-08-02 18:32:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:53:31.837346,2025-08-04 18:53:31.837349,1,Main Office,2025-08-06T10:22:21.149954
102,8,2025-08-03 10:42:00.000000,2025-08-03 18:30:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:53:31.847931,2025-08-04 18:53:31.847934,1,Main Office,2025-08-06T10:22:21.149954
103,8,2025-08-02 08:11:00.000000,2025-08-02 16:10:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:53:31.856737,2025-08-04 18:53:31.856740,1,Main Office,2025-08-06T10:22:21.149954
108,10,2025-08-04 10:34:00.000000,2025-08-04 16:36:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:57:38.534305,2025-08-04 18:57:38.534311,1,Main Office,2025-08-06T10:22:21.149954
109,10,2025-08-03 09:49:00.000000,2025-08-03 18:17:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:57:38.543207,2025-08-04 18:57:38.543211,1,Main Office,2025-08-06T10:22:21.149954
110,10,2025-08-02 10:18:00.000000,2025-08-02 17:21:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:57:38.551536,2025-08-04 18:57:38.551539,1,Main Office,2025-08-06T10:22:21.149954
111,10,2025-08-01 09:41:00.000000,2025-08-01 16:26:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:57:38.561374,2025-08-04 18:57:38.561379,1,Main Office,2025-08-06T10:22:21.149954
112,10,2025-07-31 09:24:00.000000,2025-07-31 17:23:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-08-04 18:57:38.571487,2025-08-04 18:57:38.571493,1,Main Office,2025-08-06T10:22:21.149954
131,14,2025-08-04 09:46:00.000000,2025-08-04 16:37:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:57:38.742831,2025-08-04 18:57:38.742834,1,Main Office,2025-08-06T10:22:21.149954
132,14,2025-08-03 08:07:00.000000,2025-08-03 16:40:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:57:38.750731,2025-08-04 18:57:38.750734,1,Main Office,2025-08-06T10:22:21.149954
133,14,2025-08-02 08:34:00.000000,2025-08-02 18:12:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:57:38.758705,2025-08-04 18:57:38.758708,1,Main Office,2025-08-06T10:22:21.149954
134,14,2025-08-01 10:33:00.000000,2025-08-01 18:28:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:57:38.766834,2025-08-04 18:57:38.766838,1,Main Office,2025-08-06T10:22:21.149954
135,14,2025-07-31 09:48:00.000000,2025-07-31 18:54:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-08-04 18:57:38.774752,2025-08-04 18:57:38.774755,1,Main Office,2025-08-06T10:22:21.149954
136,14,2025-07-29 10:23:00.000000,2025-07-29 16:40:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-08-04 18:57:38.783364,2025-08-04 18:57:38.783371,1,Main Office,2025-08-06T10:22:21.149954
148,17,2025-08-04 10:59:00.000000,2025-08-04 18:10:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:57:38.884012,2025-08-04 18:57:38.884016,1,Main Office,2025-08-06T10:22:21.149954
149,17,2025-08-03 08:43:00.000000,2025-08-03 18:19:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:57:38.892275,2025-08-04 18:57:38.892279,1,Main Office,2025-08-06T10:22:21.149954
150,17,2025-08-02 08:47:00.000000,2025-08-02 16:48:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:57:38.900527,2025-08-04 18:57:38.900534,1,Main Office,2025-08-06T10:22:21.149954
151,17,2025-08-01 10:19:00.000000,2025-08-01 17:21:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:57:38.908756,2025-08-04 18:57:38.908759,1,Main Office,2025-08-06T10:22:21.149954
152,17,2025-07-31 10:12:00.000000,2025-07-31 16:17:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-08-04 18:57:38.916935,2025-08-04 18:57:38.916939,1,Main Office,2025-08-06T10:22:21.149954
153,17,2025-07-29 10:54:00.000000,2025-07-29 16:08:00.000000,2025-07-29 00:00:00.000000,,completed,,2025-08-04 18:57:38.925825,2025-08-04 18:57:38.925828,1,Main Office,2025-08-06T10:22:21.149954
155,2,2025-08-05 09:10:00.000000,2025-08-05 17:45:00.000000,2025-08-05 00:00:00.000000,,completed,,2025-08-05 17:19:03.210153,2025-08-05 17:19:03.210156,1,Main Office,2025-08-06T10:22:21.149954
156,3,2025-08-05 09:20:00.000000,2025-08-05 18:00:00.000000,2025-08-05 00:00:00.000000,,completed,,2025-08-05 17:19:03.219935,2025-08-05 17:19:03.219938,1,Main Office,2025-08-06T10:22:21.149954
159,6,2025-08-05 08:44:00.000000,2025-08-05 17:09:00.000000,2025-08-05 00:00:00.000000,,completed,,2025-08-05 17:19:03.869871,2025-08-05 17:19:03.869873,1,Main Office,2025-08-06T10:22:21.149954
160,7,2025-08-05 08:20:00.000000,2025-08-05 17:22:00.000000,2025-08-05 00:00:00.000000,,completed,,2025-08-05 17:19:03.880104,2025-08-05 17:19:03.880106,1,Main Office,2025-08-06T10:22:21.149954
161,8,2025-08-05 08:55:00.000000,2025-08-05 17:08:00.000000,2025-08-05 00:00:00.000000,,completed,,2025-08-05 17:19:03.891429,2025-08-05 17:19:03.891432,1,Main Office,2025-08-06T10:22:21.149954
